region_id,country_name,city_name,composition_plastic_percent
SAS,Afghanistan,Jalalabad,5.6455
SAS,Afghanistan,Kandahar,9.643
SAS,Afghanistan,Mazar-E-Sharif,10.64
SAS,Afghanistan,Kabul,11
SAS,Afghanistan,HiratÂ ,12.06
SSF,Angola,Luanda,12
ECS,Albania,Korca,11
ECS,Albania,Vlora,11.1
MEA,United Arab Emirates,Abu Dhabi,19
MEA,United Arab Emirates,Dubai,24.23
LCN,Argentina,CÃ³rdoba,14
LCN,Argentina,Rosario,11.68
LCN,Argentina,Ciudada AutÃ³noma De Buenos Aires (Caba).,16
ECS,Armenia,Vanadzor,15.75
ECS,Armenia,Spitak,9.75
EAS,American Samoa,Pago Pago,12.8
EAS,Australia,Perth,8.2
EAS,Australia,Melbourne,15.33
EAS,Australia,Canberra,4
ECS,Austria,Vienna,2.9
ECS,Azerbaijan,Baku,10.4
ECS,Belgium,Brussels,11
SSF,Benin,Cotonou,4.43
SSF,Burkina Faso,Ouagadougou,10
SAS,Bangladesh,Patuakhali,2.89
SAS,Bangladesh,Chittagong,7.21
SAS,Bangladesh,Rangpur,4.55
SAS,Bangladesh,Dhaka,4.1
SAS,Bangladesh,Rajshahi,4.05
ECS,Bosnia and Herzegovina,Banja Luka,22.3
ECS,Bosnia and Herzegovina,Sarajevo,2.5
ECS,Belarus,Minsk,10.12
ECS,Belarus,Grodno,8.6
LCN,Belize,San Pedro,13
LCN,Belize,Belize City,21
LCN,Bolivia,La Paz,15.2
LCN,Brazil,"Distrito Federal, Brasilia",14.7
LCN,Brazil,Rio De Janeiro,21.15
LCN,Brazil,Sao Paulo,10
SAS,Bhutan,PhuentsholingÂ ,12.1
SAS,Bhutan,Thimphu,13.5
SSF,Botswana,Gaborone,4.5
NAC,Canada,Toronto,11
NAC,Canada,Ottawa,7.3
NAC,Canada,Vancouver,17
LCN,Chile,Santiago De Chile,10
EAS,China,Beijing,12.7
SSF,Côte d’Ivoire,Abidjan,8
SSF,Cameroon,Limbe,12.4
SSF,"Congo, Rep.",Dolisie,6.2
LCN,Colombia,BogotÃ¡,19.03
LCN,Colombia,Medellin,9.37
LCN,Colombia,Cali,3.21
LCN,Costa Rica,San JosÃ©,10
LCN,Costa Rica,Alajuela,12.6
LCN,Cuba,Havana,8
ECS,Cyprus,Paralimini,17
ECS,Germany,Hamburg,1.6
